kabkota,harga_juta
Bandung Barat Kab.,2806.8678760655735
Sumedang Kab.,2745.3956435643568
Bandung Kota,2707.219540925466
Cianjur Kab.,2658.625
Cirebon Kota,2404.844165480851
Sukabumi Kab.,2215.55
Ciamis Kab.,2188.1565051953644
Bogor Kota,2117.057986427481
Subang Kab.,1994.1434782608694
Majalengka Kab.,1705.4829508196722
Bandung Kab.,1591.5639688098433
Cimahi Kota,1545.2235338345865
Sukabumi Kota,1538.700640394558
Tasikmalaya Kota,1420.6582608695653
Kuningan Kab.,1346.0396103896105
Tasikmalaya Kab.,1336.79704375
Cirebon Kab.,1334.8734393703703
Bekasi Kota,1244.5928016401385
Garut Kab.,1155.9911445086705
Depok Kota,1152.8079931572327
Bogor Kab.,1109.3925535248868
Purwakarta Kab.,1108.0607927835051
Bekasi Kab.,1066.3100541884614
Karawang Kab.,1054.125
Banjar Kota,871.5714285714286
Indramayu Kab.,794.2322859090909
Kab. Pangandaran,458.75
Cilacap Kab.,361.6
